,DOCdate_month,ÈÕÁä,eef_high_flg,avg_temperature1,avg_temperature2,avg_temperature3,avg_temperature4,avg_temperature5,avg_temperature,min_temperature1,min_temperature2,min_temperature3,min_temperature4,min_temperature5,min_temperature,max_temperature1,max_temperature2,max_temperature3,max_temperature4,max_temperature5,max_temperature,avg_humidity,min_humidity,max_humidity
468,2,-2,-1,32.03589743589743,33.024358974358975,33.1025641025641,33.03333333333333,32.61666666666667,31.903846153846153,30.5,30.5,30.5,30.5,30.5,12.25,33.3,34.55,34.8,34.3,34.2,34.35,5.397435897435898,1.0,9.0
469,2,-2,0,31.422060825276223,31.760009846938914,31.750880322580148,31.692960247749177,31.46129852462033,28.739172521922523,29.991176470588236,30.055882352941175,30.00294117647059,29.97941176470588,30.011764705882353,13.88529411764706,32.48823529411764,32.970588235294116,32.92058823529412,32.90882352941177,32.67352941176471,31.791176470588237,52.88702708487875,45.2695652173913,60.32608695652174
470,2,-2,1,30.792721788015903,30.911644956350838,31.150697929521456,31.057513597513594,30.63679235796883,30.331281137163487,29.323529411764707,29.470588235294116,29.594117647058823,29.670588235294115,29.311764705882354,13.776470588235293,32.258823529411764,32.2764705882353,32.65882352941176,32.42352941176471,31.96470588235294,32.71176470588235,47.13403122130396,44.56363636363636,51.21818181818182
471,2,-1,-1,33.781779524124374,34.16280387927157,34.35453958572065,34.234816297133975,34.07312422066158,33.52418112810836,31.99375,32.30625,32.3625,32.35,32.19375,20.73125,35.26875,35.63125,35.9,35.69375,35.34375,34.925,41.18753776893663,37.24375,54.10625
472,2,-1,0,32.582403105472956,32.95145627962724,33.02933769661711,32.92216420221935,32.75060786333764,32.19197960434174,31.075000000000003,31.25576923076923,31.307692307692307,31.32884615384615,31.123076923076926,23.951923076923077,34.01923076923077,34.49423076923077,34.582692307692305,34.41346153846154,34.315384615384616,34.41346153846154,44.09221809127692,38.86222222222222,54.23555555555556
473,2,-1,1,32.34992379802163,32.53414855072464,32.77140556705774,32.64077380952381,32.208646767885895,32.5397285484242,29.866666666666667,30.116666666666667,30.305555555555557,30.349999999999998,29.84444444444445,29.04444444444444,34.705555555555556,34.81666666666667,35.08888888888889,34.84444444444445,34.422222222222224,35.02777777777778,44.93094806763285,41.074999999999996,48.74166666666667
474,2,0,-1,34.103712121212126,34.42274147727273,34.57722064393939,34.550951704545454,34.276590909090906,34.22716856060606,30.675,31.0,32.045,32.4,32.32,29.764999999999997,35.57,35.935,36.22,35.995,35.7,35.415,37.411609848484844,32.010000000000005,43.785
475,2,0,0,33.90331682466375,34.32421021714471,34.39816703127532,34.354069235132066,34.0119483268514,34.1848385593907,32.03636363636364,32.345454545454544,32.90181818181818,33.04727272727273,32.518181818181816,30.523636363636363,35.125454545454545,35.46909090909091,35.50363636363637,35.405454545454546,35.07818181818182,35.28363636363636,43.04847410815188,37.43921568627451,51.0078431372549
476,2,0,1,33.04924089068826,33.88734817813765,34.21364709851552,34.00148448043185,32.96287112010796,33.96842105263158,31.294736842105266,32.17368421052631,32.88421052631579,32.54736842105263,31.110526315789475,31.168421052631583,34.59473684210526,34.90526315789474,35.27894736842105,35.02105263157895,34.39473684210526,35.09473684210526,46.06279319638695,39.95625,51.356249999999996
477,2,1,-1,34.05003482776089,34.31126836372847,34.40539408139142,34.28315813914218,34.123029593042894,34.21043144208038,33.01428571428571,33.17142857142857,33.2952380952381,33.12857142857143,33.11904761904762,33.0,34.99047619047619,35.476190476190474,35.57142857142857,35.43333333333334,35.166666666666664,35.34285714285714,42.02874134582911,38.22857142857143,47.87142857142857
