GrowthDay,TotalMortality,TotalCulled,TotalTotal,TotalPercent,TotalUpdate,MaleMortality,MaleCulled,MaleTotal,MalePercent,MaleUpdate,FemaleMortality,FemaleCulled,FemaleTotal,FemalePercent,FemaleUpdate,
28       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
29       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
30       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
31       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
32       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
33       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
34       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
35       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
36       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
37       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
38       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
39       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
40       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
41       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
42       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
