GrowthDay,TotalMortality,TotalCulled,TotalTotal,TotalPercent,TotalUpdate,MaleMortality,MaleCulled,MaleTotal,MalePercent,MaleUpdate,FemaleMortality,FemaleCulled,FemaleTotal,FemalePercent,FemaleUpdate,
-1       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
0        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
1        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
2        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
3        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
4        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
5        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
6        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
7        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
8        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
9        ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
10       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
11       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
12       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
13       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
14       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
15       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
16       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
17       ,0             ,0          ,0         ,0           ,20000      ,0            ,0         ,0        ,0          ,10000     ,0              ,0           ,0          ,0            ,10000       ,
18       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
19       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
20       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
21       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
22       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
23       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
24       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
25       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
26       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
27       ,0             ,0          ,0         ,0           ,19800      ,0            ,0         ,0        ,0          ,0         ,0              ,0           ,0          ,0            ,19800       ,
