DOCdate,DOCAmount,HouseArea,Density,BirdsVariety,HESource,HEAge,Age,Harveststatus,Houseid,HouseName,EstimatedSlaughterDate ,FarmSupervisor,HouseAmount,ID_NUM,birds_placed,gender,house_area_m2,stocking_density,birds_hung,total_hung_weight_kg,avg_weight_kg,small_broilers_count,small_broilers_weight_kg,pp_dead_culled_count,dead_culled_weight_kg,pp_rejects_count,pp_rejects_weight_kg,age_days,birds_caught_count,livability_pct,total_caught_weight_kg,yield_per_m2,final_avg_weight_kg,total_feed_kg,fcr,adjusted_fcr,eef,feed_cost,electricity_cost,gas_cost,depreciation_cost,chick_cost,total_cost,cost_per_kg,revenue,profit_per_house,feed_per_bird,electricity_per_bird,gas_per_bird,cost_per_bird,Mortality_rate
2024-07-31,25200.0,1670.0,15.089820359281438,SZ901,南源垅/大岭头,40,38.0,2024-09-07,230101.0,Growout  Farm _01肉鸡一场第一栋,2024-09-07,史成志,20.0,G1A_60_H1,25200.0,南源垅/大岭头,1670.0,14.565868263473051,24303.0,61332.66,2.5236662140476485,16.0,15.1,22.0,54.34,4.0,147.61999999999998,37.0,24325.0,0.9652777777777778,61387.0,36.75868263473054,2.523617677286742,91030.0,1.4828872562594686,1.4644828369377831,443.9826632787744,329073.45,6516.240000000011,356.468,30240.0,45360.0,411546.158,6.704125596624692,500917.92,89371.76199999999,13.528199383350463,0.2678824254881813,0.0146543884892086,16.810736197327852,0.03472222222222221
2024-07-31,25600.0,1680.0,15.238095238095235,SZ901,大岭头,0,38.0,2024-09-07,230102.0,Growout  Farm _01肉鸡一场第二栋,2024-09-07,史成志,20.0,G1A_60_H2,25600.0,大岭头,1680.0,14.654166666666669,24589.0,60725.9,2.469636829476596,16.0,15.1,30.0,74.1,4.0,147.6,37.0,24619.0,0.9616796875,60800.0,36.19047619047619,2.4696372720256714,93080.0,1.5309210526315788,1.5260117346251612,419.2847768266763,336484.2,6501.040000000011,356.468,30720.0,46080.0,420141.708,6.910225460526316,496128.0,75986.29199999996,13.667663186969415,0.2640659653113453,0.0144793858402047,16.946208538120963,0.03832031250000001
2024-07-31,25700.0,1670.0,15.389221556886229,SZ901,大岭头,0,38.0,2024-09-07,230103.0,Growout  Farm _01肉鸡一场第三栋,2024-09-07,史成志,20.0,G1A_60_H3,25700.0,大岭头,1670.0,14.835928143712575,24729.0,62273.91,2.518254276355696,16.0,15.1,47.0,116.09,4.0,147.6,37.0,24776.0,0.964046692607004,62390.0,37.35928143712575,2.518162738133678,92730.0,1.4862958807501203,1.4692551962167009,441.44323329279774,335218.95,6148.400000000006,360.858,30840.0,46260.0,418828.208,6.713066324731528,509102.4,90274.19199999998,13.529986680658702,0.2481595092024542,0.014564820794317,16.792711010655474,0.03595330739299596
2024-07-31,25700.0,1680.0,15.297619047619047,SZ901,大岭头,0,38.0,2024-09-07,230104.0,Growout  Farm _01肉鸡一场第四栋,2024-09-07,史成志,20.0,G1A_60_H4,25700.0,大岭头,1680.0,14.69404761904762,24655.0,60413.43,2.450352058406003,16.0,15.1,31.0,76.57,4.0,147.6,37.0,24686.0,0.960544747081712,60490.0,36.00595238095238,2.45037673175079,93890.0,1.552157381385353,1.5520631984476556,409.8387162876488,339412.35000000003,6093.679999999995,365.248,30840.0,46260.0,422971.2780000001,6.9924165647214425,493598.4,70627.12199999997,13.74918374787329,0.2468476059304867,0.0147957546787652,17.01082710848254,0.039455252918288
2024-07-31,25300.0,1670.0,15.149700598802395,SZ901,L6,50,38.0,2024-09-07,230105.0,Growout  Farm _01肉鸡一场第五栋,2024-09-07,史成志,20.0,G1A_60_H5,25300.0,L6,1670.0,14.167664670658684,23626.0,54410.14,2.302977228477101,16.0,15.09,34.0,77.86000000000001,4.0,147.6,37.0,23660.0,0.9351778656126484,54488.0,32.627544910179644,2.3029585798816568,81419.99999999999,1.4942739685802375,1.5310343236098234,389.536709413676,294333.3,5928.000000000011,360.858,30360.0,45540.0,376522.158,6.910184958155923,444622.08,68099.92200000008,12.440122569737952,0.250549450549451,0.0152518174133558,15.70592383770076,0.06482213438735163
2024-08-02,24800.0,1680.0,14.761904761904765,Ross,L3,40,36.0,2024-09-07,230106.0,Growout  Farm _01肉鸡一场第六栋,2024-09-09,史成志,20.0,G1A_60_H6,24800.0,L3,1680.0,14.276190476190475,23956.0,55905.88,2.333690098513942,16.0,15.09,28.0,64.12,4.0,147.6,35.0,23984.0,0.9670967741935484,55970.0,33.31547619047619,2.3336390927284856,76650.0,1.369483651956405,1.398573878774284,470.8458310412101,277089.75,5611.839999999967,228.28,29760.0,44640.0,357329.87,6.384310702161872,456715.2,99385.33000000002,11.55310832221481,0.2339826551034008,0.0095180120080053,14.796608989326216,0.03290322580645155
2024-08-02,24900.0,1670.0,14.910179640718562,Ross,L3,40,36.0,2024-09-07,230107.0,Growout  Farm _01肉鸡一场第七栋,2024-09-09,史成志,20.0,G1A_60_H7,24900.0,L3,1670.0,14.134131736526946,23567.0,52473.29,2.2265578987567363,16.0,15.09,37.0,86.71,4.0,147.6,35.0,23604.0,0.9479518072289156,52560.0,31.473053892215567,2.226741230299949,73450.0,1.3974505327245053,1.4532652251495182,431.5702721417616,265521.75,5280.480000000006,228.28,29880.0,44820.0,345730.51,6.577825532724505,428889.6,83159.09000000003,11.249014997458058,0.2237112353838335,0.0096712421623453,14.482397475004236,0.05204819277108441
2024-08-02,24500.0,1680.0,14.583333333333334,Ross,L3,40,36.0,2024-09-07,230108.0,Growout  Farm _01肉鸡一场第八栋,2024-09-09,史成志,20.0,G1A_60_H8,24500.0,L3,1680.0,13.88452380952381,23299.0,52940.17,2.272207820078115,16.0,15.09,27.0,61.83,4.0,147.6,35.0,23326.0,0.9520816326530612,53002.0,31.548809523809524,2.272228414644603,73500.0,1.3867401230142258,1.431183019353075,445.72095023898777,265702.5,5379.279999999989,228.28,29400.0,44100.0,344810.06,6.505604694162485,432496.32,87686.26000000001,11.390829975135045,0.2306130498156558,0.0097865043299322,14.631229529280631,0.04791836734693877
2024-08-02,24500.0,1670.0,14.67065868263473,Cobb,L8,70,36.0,2024-09-07,230109.0,Growout  Farm _01肉鸡一场第九栋,2024-09-09,史成志,20.0,G1A_60_H9,24500.0,L8,1670.0,13.853293413173652,23115.0,57223.6,2.475604585766818,15.0,15.09,20.0,49.400000000000006,3.0,147.6,35.0,23135.0,0.9442857142857144,57273.0,34.295209580838325,2.4755997406526906,80520.0,1.4058980671520611,1.3994981319888886,475.0747733029767,291079.8,5839.839999999995,237.06,29400.0,44100.0,370656.7,6.471752832923017,467347.68,96690.98000000004,12.581793818889128,0.2524244650961744,0.0102468121893235,15.844465096174629,0.055714285714285605
2024-08-02,24500.0,1680.0,14.583333333333334,Cobb,L8,70,38.0,2024-09-09,230110.0,Growout  Farm _01肉鸡一场第十栋,2024-09-09,史成志,20.0,G1A_60_H10,24500.0,L8,1680.0,13.908333333333331,23331.0,60899.55,2.6102417384595604,25.0,23.44,35.0,86.44999999999999,3.0,108.73,37.0,23366.0,0.9537142857142856,60986.0,36.30119047619048,2.6100316699477872,89680.0,1.4705014265569147,1.430493509069968,457.5061019802959,324193.2,6669.76,232.67,29400.0,44100.0,404595.63,6.634237857869019,497645.76,93050.13,13.874569887871267,0.2854472310194299,0.0099576307455276,17.169974749636225,0.046285714285714374
2024-08-02,24500.0,1670.0,14.67065868263473,Cobb,L5,50,38.0,2024-09-09,230111.0,Growout  Farm _01肉鸡一场第十一栋,2024-09-09,史成志,20.0,G1A_60_H11,24500.0,L5,1670.0,14.04191616766467,23414.0,61346.08,2.6200597932860683,25.0,23.44,36.0,88.91999999999999,3.0,108.73,37.0,23450.0,0.9571428571428572,61435.0,36.7874251497006,2.6198294243070364,89600.0,1.4584520224627655,1.4159946663860064,464.6820612294146,323904.0,6958.559999999972,228.28,29400.0,44100.0,404590.84,6.585673313257916,501309.6,96718.76,13.812537313432836,0.2967402985074615,0.0097347547974413,17.11901236673774,0.042857142857142816
